
Expectation values
  Settings       N_ab   <AB>_sim    <AB>_qm StdErr_sim
101.25, 360       8943      0.223      0.195      0.002
  112.5, 0       9331      0.405      0.383      0.004
112.5, 11.25       9179      0.199      0.195      0.002
112.5, 22.5       9237      0.045     -0.000      0.000
112.5, 33.75       9304     -0.174     -0.195      0.002
 112.5, 45       9220     -0.359     -0.383      0.004
112.5, 56.25       9145     -0.523     -0.556      0.005
112.5, 67.5       9492     -0.673     -0.707      0.007
112.5, 78.75       9535     -0.802     -0.831      0.008
 112.5, 90      10116     -0.923     -0.924      0.009
112.5, 101.25      10674     -1.000     -0.981      0.010
112.5, 112.5      11577     -1.000     -1.000      0.009
112.5, 123.75      10492     -1.000     -0.981      0.010
112.5, 135      10255     -0.931     -0.924      0.009
112.5, 146.25       9840     -0.853     -0.831      0.009
112.5, 157.5       9274     -0.720     -0.707      0.007
112.5, 168.75       9247     -0.580     -0.556      0.006
112.5, 180       9220     -0.421     -0.383      0.004
112.5, 191.25       9355     -0.200     -0.195      0.002
112.5, 202.5       9191     -0.038     -0.000      0.000
112.5, 213.75       9110      0.155      0.195      0.002
112.5, 225       9296      0.340      0.383      0.004
112.5, 236.25       9254      0.535      0.556      0.006
112.5, 247.5       9425      0.642      0.707      0.007
112.5, 258.75       9713      0.812      0.831      0.008
112.5, 270      10009      0.932      0.924      0.009
112.5, 281.25      10606      1.000      0.981      0.010
112.5, 292.5      11297      1.000      1.000      0.009
112.5, 303.75      10659      1.000      0.981      0.010
112.5, 315      10110      0.930      0.924      0.009
112.5, 326.25       9603      0.843      0.831      0.009
112.5, 337.5       9570      0.719      0.707      0.007
112.5, 348.75       9341      0.594      0.556      0.006
112.5, 360       9121      0.390      0.383      0.004
 123.75, 0       9400      0.589      0.556      0.006
123.75, 11.25       9221      0.427      0.383      0.004
123.75, 22.5       9291      0.226      0.195      0.002
123.75, 33.75       9397      0.058     -0.000      0.001
123.75, 45       9507     -0.134     -0.195      0.001
123.75, 56.25       9367     -0.309     -0.383      0.003
123.75, 67.5       9258     -0.532     -0.556      0.006
123.75, 78.75       9333     -0.693     -0.707      0.007
123.75, 90       9576     -0.846     -0.831      0.009
123.75, 101.25      10218     -0.927     -0.924      0.009
123.75, 112.5      10903     -1.000     -0.981      0.010
123.75, 123.75      11863     -1.000     -1.000      0.009
123.75, 135      10815     -1.000     -0.981      0.010
123.75, 146.25      10303     -0.929     -0.924      0.009
123.75, 157.5       9987     -0.859     -0.831      0.009
123.75, 168.75       9772     -0.716     -0.707      0.007
123.75, 180       9438     -0.576     -0.556      0.006
123.75, 191.25       9331     -0.418     -0.383      0.004
123.75, 202.5       9319     -0.227     -0.195      0.002
123.75, 213.75       9281     -0.049     -0.000      0.001
123.75, 225       9252      0.146      0.195      0.002
123.75, 236.25       9387      0.303      0.383      0.003
123.75, 247.5       9315      0.524      0.556      0.005
123.75, 258.75       9451      0.681      0.707      0.007
123.75, 270       9507      0.849      0.831      0.009
123.75, 281.25      10211      0.924      0.924      0.009
123.75, 292.5      10630      1.000      0.981      0.010
123.75, 303.75      11946      1.000      1.000      0.009
123.75, 315      10879      1.000      0.981      0.010
123.75, 326.25      10389      0.929      0.924      0.009
123.75, 337.5       9917      0.849      0.831      0.009
123.75, 348.75       9863      0.722      0.707      0.007
123.75, 360       9372      0.598      0.556      0.006
    135, 0       9640      0.728      0.707      0.007
135, 11.25       9377      0.595      0.556      0.006
 135, 22.5       9518      0.396      0.383      0.004
135, 33.75       9400      0.226      0.195      0.002

	Same Angle <AB> = -1.00
	Oppo Angle <AB> = +0.00
	CHSH: <= 2.0, Sim: 1.771, QM: 1.775
