=== 2025-05-28 08:34:10 START | TIME_LIMIT 1 sec | IGNORE ['/home/joaolopez/IncPy/Lib/']
CANNOT_MEMOIZE resolve_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6465 ms
CANNOT_MEMOIZE fatoracao_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6401 ms
CANNOT_MEMOIZE resolve_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6462 ms
CANNOT_MEMOIZE fatoracao_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6359 ms
CANNOT_MEMOIZE resolve_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6422 ms
CANNOT_MEMOIZE fatoracao_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6342 ms
CANNOT_MEMOIZE resolve_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6403 ms
CANNOT_MEMOIZE fatoracao_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6357 ms
CANNOT_MEMOIZE resolve_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6417 ms
CANNOT_MEMOIZE fatoracao_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6370 ms
CANNOT_MEMOIZE resolve_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6431 ms
CANNOT_MEMOIZE fatoracao_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6383 ms
CANNOT_MEMOIZE resolve_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6445 ms
CANNOT_MEMOIZE fatoracao_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6347 ms
CANNOT_MEMOIZE resolve_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6409 ms
CANNOT_MEMOIZE fatoracao_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6357 ms
CANNOT_MEMOIZE resolve_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6419 ms
CANNOT_MEMOIZE fatoracao_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6422 ms
CANNOT_MEMOIZE resolve_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6484 ms
CANNOT_MEMOIZE fatoracao_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6421 ms
CANNOT_MEMOIZE resolve_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6483 ms
CANNOT_MEMOIZE fatoracao_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6477 ms
CANNOT_MEMOIZE resolve_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6539 ms
CANNOT_MEMOIZE fatoracao_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6343 ms
CANNOT_MEMOIZE resolve_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6404 ms
CANNOT_MEMOIZE fatoracao_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6398 ms
CANNOT_MEMOIZE resolve_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6460 ms
CANNOT_MEMOIZE fatoracao_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6349 ms
CANNOT_MEMOIZE resolve_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6411 ms
CANNOT_MEMOIZE fatoracao_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6393 ms
CANNOT_MEMOIZE resolve_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6456 ms
CANNOT_MEMOIZE fatoracao_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6408 ms
CANNOT_MEMOIZE resolve_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6468 ms
CANNOT_MEMOIZE fatoracao_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6310 ms
CANNOT_MEMOIZE resolve_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6370 ms
CANNOT_MEMOIZE fatoracao_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6325 ms
CANNOT_MEMOIZE resolve_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6386 ms
CANNOT_MEMOIZE fatoracao_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6362 ms
CANNOT_MEMOIZE resolve_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6425 ms
CANNOT_MEMOIZE fatoracao_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6402 ms
CANNOT_MEMOIZE resolve_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6465 ms
CANNOT_MEMOIZE fatoracao_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6267 ms
CANNOT_MEMOIZE resolve_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6328 ms
CANNOT_MEMOIZE fatoracao_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6313 ms
CANNOT_MEMOIZE resolve_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6373 ms
CANNOT_MEMOIZE fatoracao_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6313 ms
CANNOT_MEMOIZE resolve_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6375 ms
CANNOT_MEMOIZE fatoracao_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6396 ms
CANNOT_MEMOIZE resolve_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6457 ms
CANNOT_MEMOIZE fatoracao_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6340 ms
CANNOT_MEMOIZE resolve_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6401 ms
CANNOT_MEMOIZE fatoracao_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6287 ms
CANNOT_MEMOIZE resolve_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6350 ms
CANNOT_MEMOIZE fatoracao_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6311 ms
CANNOT_MEMOIZE resolve_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6371 ms
CANNOT_MEMOIZE fatoracao_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6298 ms
CANNOT_MEMOIZE resolve_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6359 ms
CANNOT_MEMOIZE fatoracao_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6294 ms
CANNOT_MEMOIZE resolve_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6355 ms
CANNOT_MEMOIZE fatoracao_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6289 ms
CANNOT_MEMOIZE resolve_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6349 ms
CANNOT_MEMOIZE fatoracao_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6322 ms
CANNOT_MEMOIZE resolve_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6384 ms
CANNOT_MEMOIZE fatoracao_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6387 ms
CANNOT_MEMOIZE resolve_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6451 ms
CANNOT_MEMOIZE fatoracao_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6319 ms
CANNOT_MEMOIZE resolve_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6379 ms
CANNOT_MEMOIZE fatoracao_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6305 ms
CANNOT_MEMOIZE resolve_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6367 ms
CANNOT_MEMOIZE fatoracao_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6396 ms
CANNOT_MEMOIZE resolve_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6460 ms
CANNOT_MEMOIZE fatoracao_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6343 ms
CANNOT_MEMOIZE resolve_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6403 ms
CANNOT_MEMOIZE fatoracao_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6294 ms
CANNOT_MEMOIZE resolve_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6355 ms
CANNOT_MEMOIZE fatoracao_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6376 ms
CANNOT_MEMOIZE resolve_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6437 ms
CANNOT_MEMOIZE fatoracao_lu [/home/joaolopez/experimentos_speedupy-paper/exps_incpy_scripts/heat_distribution_lu/fatoracao_lu_incpy.py] | memo table entry unpicklable | runtime 6333 ms
